                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.82358,                 1.4018,                 0.5603,                 1.0809,                0.94203,                0.88233,                0.93558,                0.77812,                 0.9423,                0.88159,                0.93451,                0.70975,                0.72608,                 1.3822,                0.49897,                 1.0468,              0.0062875,              0.0062875,              0.0062875
                     77,                0.83566,                 1.4009,                0.56365,                 1.0865,                0.94299,                0.88418,                0.93952,                0.77943,                0.94106,                0.88237,                0.93625,                0.70902,                0.72066,                 1.3788,                 0.4898,                  1.046,               0.006238,               0.006238,               0.006238
                     78,                0.83226,                 1.3987,                0.55891,                 1.0861,                0.94625,                0.88745,                0.93752,                0.77917,                0.94105,                0.88521,                0.93054,                0.70946,                0.71773,                 1.3557,                0.49161,                  1.041,              0.0061885,              0.0061885,              0.0061885
                     79,                0.82605,                 1.4031,                  0.558,                 1.0818,                0.94819,                 0.8803,                0.93715,                0.77729,                0.94436,                0.87761,                0.92865,                0.70913,                0.72147,                 1.3652,                0.49612,                 1.0463,               0.006139,               0.006139,               0.006139
                     80,                0.82021,                 1.3895,                0.55368,                 1.0706,                0.93634,                0.88595,                0.93413,                0.78076,                0.92662,                  0.888,                0.92586,                0.70886,                0.71046,                 1.3514,                0.49364,                 1.0378,              0.0060895,              0.0060895,              0.0060895
                     81,                0.80978,                 1.3871,                0.55821,                 1.0754,                0.93532,                0.88857,                0.93566,                0.78084,                0.93366,                 0.8865,                0.92924,                0.71239,                0.71392,                 1.3583,                0.49036,                 1.0417,                0.00604,                0.00604,                0.00604
                     82,                0.81176,                  1.373,                 0.5492,                 1.0714,                0.93938,                0.89038,                0.93552,                0.78231,                0.93128,                0.89245,                0.92901,                0.71258,                 0.7126,                 1.3525,                0.48435,                 1.0413,              0.0059905,              0.0059905,              0.0059905
                     83,                0.81047,                 1.3642,                0.54799,                 1.0699,                0.93438,                 0.8872,                0.93418,                0.78142,                0.93474,                0.88877,                0.93524,                0.71347,                0.71057,                  1.358,                0.48947,                  1.038,               0.005941,               0.005941,               0.005941
                     84,                0.80736,                 1.3686,                0.54853,                 1.0704,                0.94204,                0.88669,                0.93619,                0.78496,                0.93865,                0.89012,                0.93446,                0.71334,                0.70581,                 1.3472,                0.48171,                 1.0376,              0.0058915,              0.0058915,              0.0058915
                     85,                0.80451,                 1.3634,                0.53461,                 1.0594,                0.95278,                0.88156,                0.93696,                0.78749,                0.95069,                0.88237,                   0.93,                0.71428,                0.70446,                  1.347,                0.48025,                 1.0345,               0.005842,               0.005842,               0.005842
                     86,                0.80448,                 1.3413,                0.53462,                 1.0648,                0.95284,                 0.8759,                0.93782,                0.78567,                0.94775,                0.87952,                 0.9287,                0.71367,                 0.7071,                 1.3405,                0.48544,                  1.037,              0.0057925,              0.0057925,              0.0057925
                     87,                0.80466,                 1.3614,                0.53796,                 1.0633,                0.94559,                0.88962,                0.93859,                0.78708,                0.94265,                0.88808,                0.92945,                0.71611,                0.70117,                 1.3313,                0.47914,                 1.0336,               0.005743,               0.005743,               0.005743
                     88,                  0.794,                 1.3493,                0.53333,                 1.0606,                0.95158,                0.87927,                 0.9371,                0.78781,                0.94812,                0.87694,                 0.9294,                0.71798,                0.69436,                 1.3331,                0.48068,                 1.0314,              0.0056935,              0.0056935,              0.0056935
                     89,                0.79682,                 1.3426,                0.53738,                 1.0586,                0.93916,                0.88989,                0.93838,                0.79324,                0.93524,                0.89555,                0.93831,                0.72506,                0.68485,                 1.3198,                0.47292,                 1.0222,               0.005644,               0.005644,               0.005644
                     90,                0.79396,                 1.3352,                 0.5321,                 1.0574,                0.94217,                0.88857,                0.93719,                0.79188,                0.94692,                0.88883,                0.93665,                0.72231,                0.68536,                 1.3158,                0.47581,                 1.0243,              0.0055945,              0.0055945,              0.0055945
